"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,171.6,,
"AUS","Australia","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,311,,
"AUS","Australia","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,304.1,,
"AUS","Australia","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,172,,
"AUS","Australia","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,475.7,,
"AUS","Australia","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,483,,
"AUT","Austria","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,135.3,,
"AUT","Austria","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,269.2,,
"AUT","Austria","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,364.8,,
"AUT","Austria","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,248.8,,
"AUT","Austria","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,500.1,,
"AUT","Austria","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,517.9,,
"BEL","Belgium","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,144.2,,
"BEL","Belgium","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,237.3,,
"BEL","Belgium","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,273.7,,
"BEL","Belgium","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,199.2,,
"BEL","Belgium","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,417.9,,
"BEL","Belgium","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,436.6,,
"CAN","Canada","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,148.1,,
"CAN","Canada","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,223.7,,
"CAN","Canada","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,340.5,,
"CAN","Canada","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,268.3,,
"CAN","Canada","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,488.7,,
"CAN","Canada","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,491.9,,
"DNK","Denmark","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,186.1,,
"DNK","Denmark","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,242.8,,
"DNK","Denmark","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,260.1,,
"DNK","Denmark","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,194.6,,
"DNK","Denmark","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,446.2,,
"DNK","Denmark","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,437.4,,
"FIN","Finland","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,157.5,,
"FIN","Finland","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,235.8,,
"FIN","Finland","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,248.6,,
"FIN","Finland","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,209.9,,
"FIN","Finland","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,406,,
"FIN","Finland","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,445.7,,
"FRA","France","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,134.9,,
"FRA","France","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,224,,
"FRA","France","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,235.1,,
"FRA","France","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,175.4,,
"FRA","France","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,370.1,,
"FRA","France","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,399.4,,
"DEU","Germany","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,150.4,,
"DEU","Germany","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,242.3,,
"DEU","Germany","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,289.5,,
"DEU","Germany","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,205.5,,
"DEU","Germany","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,440,,
"DEU","Germany","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,447.7,,
"GRC","Greece","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,95.1,,
"GRC","Greece","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,259.5,,
"GRC","Greece","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,274.3,,
"GRC","Greece","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,184.5,,
"GRC","Greece","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,369.4,,
"GRC","Greece","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,444,,
"HUN","Hungary","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,162.3,,
"HUN","Hungary","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,293.8,,
"HUN","Hungary","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,272.7,,
"HUN","Hungary","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,202.5,,
"HUN","Hungary","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,435,,
"HUN","Hungary","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,496.3,,
"IRL","Ireland","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,127,,
"IRL","Ireland","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,292.5,,
"IRL","Ireland","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,340.8,,
"IRL","Ireland","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,194.9,,
"IRL","Ireland","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,467.8,,
"IRL","Ireland","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,487.4,,
"ITA","Italy","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,130.7,,
"ITA","Italy","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,306.3,,
"ITA","Italy","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,220.8,,
"ITA","Italy","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,133.1,,
"ITA","Italy","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,351.5,,
"ITA","Italy","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,439.5,,
"JPN","Japan","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,40.8,,
"JPN","Japan","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,224.3,,
"JPN","Japan","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,451.8,,
"JPN","Japan","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,271.5,,
"JPN","Japan","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,492.6,,
"JPN","Japan","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,495.8,,
"KOR","Korea","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,49,,
"KOR","Korea","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,215,,
"KOR","Korea","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,419,,
"KOR","Korea","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,269.4,,
"KOR","Korea","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,468,,
"KOR","Korea","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,484.4,,
"MEX","Mexico","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,131.4,,
"MEX","Mexico","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,331.3,,
"MEX","Mexico","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,478.3,,
"MEX","Mexico","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,236.3,,
"MEX","Mexico","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,609.8,,
"MEX","Mexico","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,567.6,,
"NLD","Netherlands","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,145.4,,
"NLD","Netherlands","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,224.9,,
"NLD","Netherlands","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,284.9,,
"NLD","Netherlands","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,201.4,,
"NLD","Netherlands","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,430.4,,
"NLD","Netherlands","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,426.4,,
"NZL","New Zealand","EMP15_U","Time spent in unpaid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,141,,
"NZL","New Zealand","EMP15_U","Time spent in unpaid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,264,,
"NZL","New Zealand","EMP15_P","Time spent in paid work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,338,,
"NZL","New Zealand","EMP15_P","Time spent in paid work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,205,,
"NZL","New Zealand","EMP15_T","Time spent in total work, by sex","MEN","Men","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,479,,
"NZL","New Zealand","EMP15_T","Time spent in total work, by sex","WOMEN","Women","1564","15-64","LATEST_YEAR","Latest year","MPD","Minutes per day","0","Units",,,469,,
