states,mortality
Alabama,81
Alaska,81
Arizona,86
Arkansas,84
California,88
Colorado,78
Connecticut,97
Delaware,78
District of Columbia,86
Florida,84
Georgia,78
Hawaii,79
Idaho,76
Illinois,80
Indiana,70
Iowa,84
Kansas,84
Kentucky,77
Louisiana,74
Maine,77
Maryland,86
Massachusetts,82
Michigan,81
Minnesota,86
Mississippi,77
Missouri,79
Montana,81
Nebraska,83
Nevada,80
New Hampshire,83
New Jersey,82
New Mexico,88
New York,85
North Carolina,81
North Dakota,80
Ohio,82
Oklahoma,80
Oregon,84
Pennsylvania,80
Rhode Island,86
South Carolina,78
South Dakota,85
Tennessee,82
Texas,87
Utah,73
Vermont,84
Virginia,80
Washington,80
West Virginia,82
Wisconsin,87
Wyoming,75